institution,state,type,fa_policy,applicants_2013-14,applicants_2014-15,fa_2013-14,fa_2014-15,admitted_2013-14,admitted_2014-15,fa_average,percentage
Harvard College,MA,private 4yr,NB,717,755,26298301,27986494,524,524,53409,69
Yale University,CT,private 4yr,NB,570,569,19764009,17987511,349,322,55862,57
Princeton University,NJ,private 4yr,NB,569,579,16355904,17786464,408,400,44466,69
Dartmouth College,NH,private 4yr,NB,349,343,14740271,14599112,288,286,51046,83
Massachusetts Institute of Technology,MA,private 4yr,NB,433,433,16505536,14208960,368,320,44403,74
University of Pennsylvania,PA,private 4yr,NB,1077,1103,13318310,14030020,314,314,44682,28
Mount Holyoke College,MA,private 4yr,NB & NNB,529,534,14535808,13540205,448,413,32785,77
University of Rochester,NY,private 4yr,NNB,910,1039,10091110,13359078,488,573,23314,55
Illinois Institute of Technology,IL,private 4yr,NB,700,909,10703818,12656070,592,661,19147,73
New York University,NY,private 4yr,NB & NNB,3021,3711,797669,11035927,102,374,29508,10
Cornell University,NY,private 4yr,NB,1344,1379,10099535,10780384,196,206,52332,15
Florida Institute of Technology,FL,private 4yr,NNB,966,1102,7949296,10490897,522,665,15776,60
Brown University,RI,private 4yr,NB,721,725,9843867,9843867,211,211,46653,29
Columbia University,NY,private 4yr,NB,801,822,8298084,9499065,165,176,53972,21
Worcester Polytechnic Institute,MA,private 4yr,NB & NNB,507,539,8649702,9410169,391,431,21833,80
Duke University,NC,private 4yr,NB & NNB,580,616,N/A,9173384,N/A,173,53334,28
Macalester College,MN,private 4yr,NB & NNB,250,272,8656508,9111071,N/A,215,42377,79
Trinity College,CT,private 4yr,NB & NNB,195,214,8324407,9094734,159,166,54788,78
Amherst College,MA,private 4yr,NB,171,172,8543755,8573670,155,154,55673,90
Lindenwood University,MO,private 4yr,NB & NNB,867,934,7295206,8474726,795,901,9406,96
Andrews University,MI,private 4yr,NB & NNB,314,319,N/A,8455876,N/A,317,26675,99
Parsons The New School for Design,NY,private 4yr,NB & NNB,1778,1744,8184297,N/A,1123,N/A,7288,63
Northeastern University,MA,private 4yr,NNB,2881,3094,6493365,8133102,405,434,18740,14
Smith College,MA,private 4yr,NB & NNB,343,360,7324960,7583628,160,156,48613,43
St. Olaf College,MN,private 4yr,NB & NNB,177,206,6125930,7564983,173,195,38795,95
University of Denver,CO,private 4yr,NNB,489,543,7006477,7382830,381,384,19226,71
Stanford University,CA,private 4yr,NB & NNB,565,575,N/A,7316190,N/A,135,54194,23
Earlham College,IN,private 4yr,NB & NNB,182,168,7041219,7285362,N/A,181,40251,N/A
St. John's University,NY,private 4yr,NNB,556,577,6626637,7233687,310,338,21401,59
Texas Christian University,TX,private 4yr,NB & NNB,391,403,5771602,7181072,213,243,29552,60
Franklin & Marshall College,PA,private 4yr,NB,293,297,6806085,7052204,165,166,42483,56
Middlebury College,VT,private 4yr,NB,252,250,6343925,7023738,130,139,50530,56
Bryn Mawr College,PA,private 4yr,NB,300,314,N/A,6861267,N/A,157,43702,50
St. Lawrence University,NY,private 4yr,NB & NNB,186,192,6848700,6734631,185,192,35076,100
Grinnell College,IA,private 4yr,NB & NNB,210,228,5930739,6046218,161,158,38267,69
University of Chicago,IL,private 4yr,NB & NNB,532,573,4382305,5945857,113,123,48340,21
New England Conservatory of Music,MA,private 4yr,NB & NNB,125,131,2354530,5919405,N/A,387,15296,N/A
Calvin College,MI,private 4yr,NB & NNB,384,393,5210496,5859412,384,372,15751,95
