"institution","state","type","fa_policy","applicants_2013.14","applicants_2014.15","fa_2013.14","fa_2014.15","admitted_2013.14","admitted_2014.15","fa_average","percentage"
"Amherst College","MA","private 4yr","NB",171,172,8543755,8573670,155,154,55673,90
"Bard College","NY","private 4yr","NB",216,219,6083610,4931652,141,112,44032,51
"Barnard College","NY","private 4yr","NB",176,189,647025,916021,15,19,48212,10
"Bates College","ME","private 4yr","NB",116,122,NA,4795700,NA,91,52700,75
"Bennington College","VT","private 4yr","NB & NNB",46,81,1994986,5351849,44,NA,45341,96
"Bowdoin College","ME","private 4yr","NB",88,93,1291170,1780266,30,41,43421,44
"Brown University","RI","private 4yr","NB",721,725,9843867,9843867,211,211,46653,29
"Bryn Mawr College","PA","private 4yr","NB",300,314,NA,6861267,NA,157,43702,50
"Bucknell University","PA","private 4yr","NB & NNB",185,187,1003000,932186,25,22,42372,12
"California Institute of Technology","CA","private 4yr","NB",87,86,1082524,1080669,21,21,51460,24
"Colby College","ME","private 4yr","NB & NNB",155,196,5058080,5334755,101,103,51794,53
"Colgate University","NY","private 4yr","NB",242,250,5600359,5681713,114,141,40296,56
"College of the Atlantic","ME","private 4yr","NB & NNB",56,59,2273260,2350975,55,58,40534,98
"Colorado College","CO","private 4yr","NB & NNB",124,130,3614149,4293974,86,90,47711,69
"Columbia University","NY","private 4yr","NB",801,822,8298084,9499065,165,176,53972,21
"Connecticut College","CT","private 4yr","NB",94,100,2825226,2881765,60,61,47242,61
"Cooper Union for the Advancement of Science and Art","NY","private 4yr","NNB",86,117,3739350,4633200,97,117,39600,100
"Cornell University","NY","private 4yr","NB",1344,1379,10099535,10780384,196,206,52332,15
"Dartmouth College","NH","private 4yr","NB",349,343,14740271,14599112,288,286,51046,83
"Davidson College","NC","private 4yr","NB & NNB",95,100,2039306,2563856,52,57,44980,57
"Duke University","NC","private 4yr","NB & NNB",580,616,NA,9173384,NA,173,53334,28
"Earlham College","IN","private 4yr","NB & NNB",182,168,7041219,7285362,NA,181,40251,NA
"Fairfield University","CT","private 4yr","NNB",65,90,2160094,2285683,54,56,40816,62
"Franklin & Marshall College","PA","private 4yr","NB",293,297,6806085,7052204,165,166,42483,56
"Georgetown University","DC","private 4yr","NB",779,855,1235925,1235925,25,25,49437,3
"Grinnell College","IA","private 4yr","NB & NNB",210,228,5930739,6046218,161,158,38267,69
"Harvard College","MA","private 4yr","NB",717,755,26298301,27986494,524,524,53409,69
"Haverford College","PA","private 4yr","NB",66,66,645377,676512,13,12,56376,18
"Johns Hopkins University","MD","private 4yr","NB",467,494,1168502,962950,31,25,38518,5
"Kenyon College","OH","private 4yr","NB & NNB",74,73,2283684,2226768,52,48,46391,66
"Lafayette College","PA","private 4yr","NB & NNB",147,196,3793652,4570582,94,106,43119,54
"Macalester College","MN","private 4yr","NB & NNB",250,272,8656508,9111071,NA,215,42377,79
"Massachusetts Institute of Technology","MA","private 4yr","NB",433,433,16505536,14208960,368,320,44403,74
"Middlebury College","VT","private 4yr","NB",252,250,6343925,7023738,130,139,50530,56
"Muhlenberg College","PA","private 4yr","NB & NNB",15,28,431632,NA,11,NA,39239,73
"Northwestern University","IL","private 4yr","NB",609,681,1971637,2577777,46,61,42259,9
"Occidental College","CA","private 4yr","NB & NNB",78,106,604683,607877,15,15,40525,14
"Pitzer College","CA","private 4yr","NB",51,NA,179771,NA,3,NA,59924,NA
"Pomona College","CA","private 4yr","NB",110,146,1734580,1921001,41,42,45738,29
"Princeton University","NJ","private 4yr","NB",569,579,16355904,17786464,408,400,44466,69
"Providence College","RI","private 4yr","NB & NNB",73,81,2779672,3724740,61,79,47150,98
"Reed College","OR","private 4yr","NB",82,98,2231449,2535260,45,50,50705,51
"Saint Anselm College","NH","private 4yr","NB & NNB",11,12,NA,481411,NA,11,43765,92
"Skidmore College","NY","private 4yr","NB & NNB",179,219,5260000,5430000,98,96,56563,44
"Smith College","MA","private 4yr","NB & NNB",343,360,7324960,7583628,160,156,48613,43
"Stanford University","CA","private 4yr","NB & NNB",565,575,NA,7316190,NA,135,54194,23
"St. Olaf College","MN","private 4yr","NB & NNB",177,206,6125930,7564983,173,195,38795,95
"Swarthmore College","PA","private 4yr","NB",130,150,2443433,2551740,51,53,48146,35
"Trinity College","CT","private 4yr","NB & NNB",195,214,8324407,9094734,159,166,54788,78
"Tufts University","MA","private 4yr","NB",420,417,4538556,5354532,99,108,49579,26
"Union College","NY","private 4yr","NB & NNB",134,148,2706858,3335285,79,88,37900,59
"Union College","KY","private 4yr","NNB",45,56,395715,924225,31,56,37900,100
"Union College","NE","private 4yr","NB & NNB",69,55,1466542,334731,68,54,37900,98
"University of Chicago","IL","private 4yr","NB & NNB",532,573,4382305,5945857,113,123,48340,21
"University of Pennsylvania","PA","private 4yr","NB",1077,1103,13318310,14030020,314,314,44682,28
"University of Richmond","VA","private 4yr","NB & NNB",271,260,6009570,5768210,132,131,44030,50
